City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,pasni,25.2631,63.471,80.37,84,1,11.77,PK,1726507098
318,kalianget,-7.05,113.9333,79.84,70,100,5.73,ID,1726507099
319,big spring,32.2504,-101.4787,84.24,47,0,4.61,US,1726507100
320,mount pearl,47.5166,-52.7813,70.45,59,75,25.32,CA,1726506889
321,jimenez,28.3333,-105.4,83.25,47,0,5.32,MX,1726507103
322,east london,-33.0153,27.9116,63.54,77,75,5.75,ZA,1726506921
323,kayes,14.0,-11.0,77.95,87,100,4.03,ML,1726507105
324,anadyr,64.75,177.4833,39.7,93,40,6.71,RU,1726506900
325,fort bragg,35.139,-79.006,67.84,94,100,18.41,US,1726507107
326,richards bay,-28.783,32.0377,69.3,95,98,3.4,ZA,1726507108
327,yeniseysk,58.4497,92.1703,32.7,83,52,2.33,RU,1726506881
328,copiapo,-27.3667,-70.3333,76.91,27,0,10.87,CL,1726507013
329,ust'-ilimsk,58.0006,102.6619,33.37,99,99,2.57,RU,1726507045
330,ascension,30.2169,-90.9001,88.0,62,75,0.0,US,1726507112
331,taoudenni,22.6783,-3.9836,109.18,9,58,4.03,ML,1726507114
332,kontagora,10.3999,5.4695,80.17,83,73,3.04,NG,1726507115
333,kyren,51.6828,102.1408,41.49,87,100,2.48,RU,1726507117
334,recreo,-29.2818,-65.061,83.03,16,0,22.28,AR,1726507118
335,santa terezinha,-29.9002,-50.0904,63.64,72,0,7.49,BR,1726507119
336,horta,38.5333,-28.6333,75.02,86,75,21.0,PT,1726507120
337,smithers,54.7804,-127.1743,52.12,87,75,4.61,CA,1726507121
338,fukuecho,32.6881,128.8419,82.58,83,67,6.31,JP,1726507122
339,bintulu,3.1667,113.0333,81.01,89,20,2.3,MY,1726507123
340,blenheim,-41.516,173.9528,38.52,96,99,5.44,NZ,1726507124
341,las khorey,11.1595,48.1967,90.28,62,17,5.17,SO,1726507125
342,val-d'or,48.1002,-77.7828,80.69,47,20,14.97,CA,1726507126
343,greymouth,-42.4667,171.2,43.97,74,100,11.25,NZ,1726507127
344,alice springs,-23.7,133.8833,58.55,17,68,11.5,AU,1726507128
345,kharkhorin,47.1975,102.8238,47.98,29,0,6.78,MN,1726507129
346,motueka,-41.1333,173.0167,43.11,87,73,3.87,NZ,1726507130
347,baxter,46.3433,-94.2867,84.06,57,0,11.5,US,1726506974
348,bereket,39.2446,55.5154,68.04,25,0,2.8,TM,1726507132
349,piacabucu,-10.4056,-36.4344,81.09,57,1,10.78,BR,1726507134
350,acheng,45.5454,126.977,53.13,90,0,5.66,CN,1726507135
351,eyl,7.9803,49.8164,79.5,77,9,22.19,SO,1726507057
352,san antonio de pale,-1.4014,5.6325,76.41,82,82,13.8,GQ,1726507092
353,labytnangi,66.6572,66.4183,59.77,88,100,3.83,RU,1726507138
354,bajina basta,43.9708,19.5675,52.59,88,100,2.39,RS,1726507139
355,kos,36.8933,27.2889,72.84,58,0,8.34,GR,1726507140
356,nova vicosa,-17.8919,-39.3719,80.92,61,34,14.61,BR,1726507141
357,vila franca do campo,37.7167,-25.4333,75.61,63,29,7.34,PT,1726507142
358,aitape,-3.1374,142.3475,78.26,91,74,6.82,PG,1726507145
359,tabas,33.5959,56.9244,83.91,20,3,8.25,IR,1726507146
360,stalpeni,45.05,24.9667,51.93,71,48,3.89,RO,1726507147
361,indramayu,-6.3264,108.32,80.19,51,100,9.4,ID,1726507109
362,antsiranana,-12.2787,49.2917,73.56,76,4,19.35,MG,1726507149
363,chinchilla,-26.75,150.6333,43.02,67,16,7.09,AU,1726507150
364,philadelphia,39.9523,-75.1638,75.09,67,75,9.22,US,1726506962
365,at taj,24.2049,23.2857,93.02,26,0,12.93,LY,1726507152
366,malango,-2.9627,119.9001,67.48,97,79,0.72,ID,1726507153
367,mazyr,52.0495,29.2456,69.42,35,3,8.97,BY,1726507154
368,orsha,54.5153,30.4053,65.17,41,6,9.1,BY,1726507155
369,amahai,-3.3333,128.9167,77.54,90,97,2.01,ID,1726507156
370,pinheiro machado,-31.5783,-53.3811,65.08,49,1,4.97,BR,1726507157
371,katsuura,35.1333,140.3,74.62,91,79,9.62,JP,1726507158
372,umluj,25.0213,37.2685,86.14,71,0,8.1,SA,1726507159
373,kapuskasing,49.4169,-82.4331,84.2,54,75,17.27,CA,1726507160
374,raigarh,21.9,83.4,73.99,93,100,7.7,IN,1726506914
375,xilin hot,43.9667,116.0333,52.34,64,43,1.72,CN,1726507162
376,severo-yeniseyskiy,60.3725,93.0408,30.27,81,95,3.2,RU,1726507163
377,st. john's,47.5649,-52.7093,71.28,58,75,25.32,CA,1726507132
378,crane,31.3974,-102.3501,83.43,41,0,15.68,US,1726507166
379,saint george's,12.0564,-61.7485,84.72,76,56,9.73,GD,1726507167
380,farsan,32.2569,50.561,62.64,34,0,6.44,IR,1726507169
381,alotau,-10.3069,150.4462,74.62,98,100,3.91,PG,1726507171
382,tyukhtet,56.5389,89.3011,32.02,92,55,3.11,RU,1726507172
383,urumqi,43.801,87.6005,59.95,45,0,4.47,CN,1726507173
384,lagunas,-5.2269,-75.6753,102.11,29,36,2.26,PE,1726507174
385,pandan,14.0453,124.1694,78.46,91,100,8.08,PH,1726507175
386,whitehorse,60.7161,-135.0538,50.77,71,75,9.22,CA,1726507176
387,nizhniy ingash,56.2,96.53,31.66,86,56,2.3,RU,1726507177
388,padang,-0.9492,100.3543,77.05,86,100,2.95,ID,1726507179
389,marquette,46.5333,-87.6335,82.76,59,43,3.0,US,1726507180
390,san andres,12.5847,-81.7006,89.62,74,20,10.36,CO,1726507182
391,axim,4.8699,-2.2405,78.28,79,78,8.37,GH,1726507183
392,fortuna,40.5982,-124.1573,61.36,89,100,1.01,US,1726507184
393,zaragoza,41.6561,-0.8773,75.02,29,0,26.46,ES,1726507056
394,cutral-co,-38.9469,-69.2089,63.91,10,100,12.59,AR,1726507186
395,mabai,23.0128,104.4508,61.66,95,2,5.28,CN,1726507187
396,ugoofaaru,5.6667,73.0,82.45,79,34,14.23,MV,1726507188
397,brisas de zicatela,15.8369,-97.0419,86.47,71,74,6.26,MX,1726507189
398,hermanus,-34.4187,19.2345,55.8,73,0,12.68,ZA,1726507191
399,katsuren-haebaru,26.3369,127.8719,84.22,84,40,18.41,JP,1726507192
400,pedernales,18.0384,-71.744,90.55,60,31,6.13,DO,1726507193
401,okha,53.5739,142.9478,52.41,84,100,6.31,RU,1726507195
402,akureyri,65.6835,-18.0878,48.13,53,0,11.5,IS,1726507196
403,cockburn town,21.4612,-71.1419,87.76,79,40,13.8,TC,1726507197
404,sinop,41.7711,34.8709,60.73,93,99,2.66,TR,1726507198
405,oriximina,-1.7656,-55.8661,101.35,27,3,9.62,BR,1726507199
406,rice lake,45.5061,-91.7382,83.88,53,40,8.05,US,1726507200
407,amga,60.8953,131.9608,28.83,86,1,2.48,RU,1726507201
408,lazaro cardenas,17.9583,-102.2,85.46,76,70,2.01,MX,1726507202
409,thinadhoo,0.5333,72.9333,83.98,75,68,10.67,MV,1726507204
410,ust'-ordynskiy,52.805,104.7508,41.07,72,83,6.42,RU,1726507205
411,bom jesus,-9.0744,-44.3586,104.58,15,2,3.85,BR,1726507206
412,illintsi,49.1048,29.2177,68.77,30,100,7.43,UA,1726507207
413,mulayjah,27.271,48.4242,91.04,22,0,9.66,SA,1726507208
414,puerto carreno,6.189,-67.4859,94.46,50,47,0.96,CO,1726507209
415,whangarei,-35.7317,174.3239,49.89,73,36,7.9,NZ,1726507006
416,mbuji-mayi,-6.15,23.6,89.96,19,18,3.29,CD,1726507211
417,durbuy,50.35,5.4667,59.09,84,85,8.03,BE,1726507212
418,usogorsk,63.4106,48.6872,60.28,66,98,5.59,RU,1726507213
419,surazh,53.0175,32.3918,67.66,40,2,9.24,RU,1726507214
420,belmonte,-15.8631,-38.8828,80.44,61,7,8.7,BR,1726507215
421,namibe,-15.1961,12.1522,65.26,83,63,5.37,AO,1726507216
422,villa gesell,-37.2639,-56.973,65.28,42,0,10.56,AR,1726507217
423,ouadda,8.0777,22.4007,70.29,94,96,2.68,CF,1726507218
424,georgetown,5.4112,100.3354,78.73,87,20,4.61,MY,1726507219
425,alesund,62.4723,6.1549,57.76,83,75,10.36,NO,1726507220
426,ginir,7.1333,40.7,68.4,53,63,5.44,ET,1726507221
